imageFilename,building_1,person_1,vehicle_1,weapon_1
0.jpg,-1,287,-1,293
1.jpg,-1,72,-1,301
2.jpg,-1,2166,-1,1071
3.jpg,-1,253,-1,256
4.jpg,-1,-1,1,-1
5.jpg,-1,203,-1,-1
6.jpg,-1,414,-1,425
7.jpg,-1,19,-1,-1
8.jpg,-1,9,-1,233
9.jpg,126,316,-1,-1
10.jpg,-1,187,-1,-1
11.jpg,-1,58,-1,-1
12.jpg,-1,369,-1,-1
13.jpg,-1,225,-1,-1
14.jpg,6,-1,-1,-1
15.jpg,-1,2,-1,4
16.jpg,-1,419,-1,458
17.jpg,-1,255,-1,-1
18.jpg,-1,267,-1,-1
19.jpg,-1,637,-1,-1
20.jpg,-1,490,-1,-1
21.jpg,-1,302,-1,-1
22.jpg,-1,213,-1,-1
23.jpg,-1,510,-1,-1
24.jpg,-1,568,-1,-1
25.jpg,-1,206,-1,368
26.jpg,-1,474,-1,-1
27.jpg,-1,229,-1,-1
28.jpg,-1,252,-1,-1
29.jpg,256,-1,-1,-1
30.jpg,-1,36,-1,-1
31.jpg,420,211,-1,-1
32.jpg,-1,247,-1,-1
33.jpg,-1,39,-1,-1
34.jpg,-1,291,-1,-1
35.jpg,-1,267,-1,-1
36.jpg,-1,93,-1,-1
37.jpg,-1,272,-1,-1
38.jpg,-1,1903,-1,-1
39.jpg,-1,203,-1,193
40.jpg,-1,204,394,-1
41.jpg,-1,332,-1,14
42.jpg,-1,59,232,195
43.jpg,-1,48,-1,126
44.jpg,-1,464,-1,252
45.jpg,-1,412,292,413
46.jpg,-1,489,-1,-1
47.jpg,11,518,-1,164
48.jpg,-1,153,-1,-1
49.jpg,-1,223,-1,-1
50.jpg,-1,-1,-1,353
51.jpg,-1,88,-1,-1
52.jpg,-1,469,-1,-1
53.jpg,-1,213,-1,168
54.jpg,-1,208,-1,-1
55.jpg,-1,242,-1,-1
56.jpg,-1,273,-1,-1
57.jpg,-1,123,-1,-1
58.jpg,-1,23,-1,-1
59.jpg,-1,142,-1,-1
60.jpg,-1,253,-1,-1
61.jpg,3,284,-1,-1
62.jpg,-1,5,-1,-1
63.jpg,-1,284,-1,-1
64.jpg,456,-1,-1,-1
65.jpg,-1,214,-1,-1
66.jpg,-1,286,-1,-1
67.jpg,-1,228,-1,107
68.jpg,-1,281,-1,-1
69.jpg,-1,444,-1,-1
70.jpg,-1,342,-1,-1
71.jpg,-1,188,-1,-1
72.jpg,319,353,-1,-1
73.jpg,-1,423,-1,500
74.jpg,-1,370,-1,-1
75.jpg,44,251,-1,-1
76.jpg,-1,309,-1,-1
77.jpg,-1,49,-1,-1
78.jpg,-1,311,-1,-1
79.jpg,-1,41,-1,-1
80.jpg,-1,17,-1,339
81.jpg,-1,52,-1,-1
82.jpg,-1,329,-1,-1
83.jpg,-1,11,-1,-1
84.jpg,-1,157,-1,-1
85.jpg,-1,62,-1,73
86.jpg,-1,257,-1,-1
87.jpg,-1,541,-1,-1
88.jpg,-1,260,-1,-1
89.jpg,-1,-1,426,-1
