target image_name class bbox_x bbox_y bbox_w bbox_h conf_score 
1 100.jpg person 87.26764 22.83023 144.74063 220.52962 0.9950368 
1 100.jpg person 11.880325 25.24047 91.984055 193.98636 0.98150426 
1 12.jpg person 89.0557 29.515114 144.80576 159.6966 0.9981342 
1 12.jpg person 23.696121 34.315403 73.85501 153.99884 0.99789447 
1 12.jpg person 216.77132 4.6598816 274.0 158.14458 0.9936272 
1 12.jpg person 20.66733 17.477158 35.405 34.653206 0.9697534 
1 12.jpg person 0.070967674 17.75039 18.811691 170.03452 0.95225924 
1 12.jpg weapon 31.30752 70.216034 86.24043 110.623825 0.94034046 
1 12.jpg weapon 81.9164 59.339546 165.8825 115.844795 0.91481584 
1 12.jpg weapon 230.47818 43.45118 274.0 122.421455 0.8650527 
1 119.jpg building 38.05867 27.874977 173.18636 96.13242 0.93996906 
1 119.jpg building 162.87086 27.098911 257.91568 75.666824 0.85332763 
1 119.jpg person 101.56412 128.16504 122.215866 156.919 0.9928139 
1 119.jpg person 59.06631 112.67374 74.48472 139.79282 0.9920793 
1 119.jpg person 241.27788 132.18997 262.2025 157.03485 0.9240095 
1 119.jpg person 116.91672 103.38709 126.07378 122.54569 0.891046 
1 1.jpg person 156.18556 68.435776 195.22221 172.65756 0.9979316 
1 1.jpg person 123.1046 63.936203 158.77467 158.68314 0.99734026 
1 1.jpg person 15.892249 11.818493 41.931984 88.676254 0.9972229 
1 1.jpg person 56.9356 30.513882 87.93308 122.6109 0.9960615 
1 1.jpg person 90.57025 55.059917 119.9285 139.21362 0.9959902 
1 1.jpg person 39.745274 19.380943 59.397694 99.147804 0.97238266 
1 1.jpg weapon 161.81805 97.91078 215.03305 136.7451 0.95751184 
1 55.jpg weapon 0.0 8.268921 258.0 180.82278 0.99258035 
1 103.jpg person 18.735413 24.519058 127.65715 172.4468 0.99497247 
1 103.jpg person 130.50696 41.519394 205.47922 112.92192 0.8584492 
1 127.jpg person 102.49996 36.641373 180.26974 182.0 0.99364555 
1 127.jpg person 183.78398 18.096268 272.3999 180.4361 0.9888283 
1 127.jpg person 11.901733 41.87136 105.90768 182.0 0.9881346 
1 127.jpg person 13.718968 44.692513 42.21402 82.61201 0.9159955 
1 127.jpg person 192.47455 25.482037 240.8818 88.69017 0.86208695 
1 127.jpg person 78.74683 56.40365 93.52552 78.939186 0.83366525 
1 127.jpg weapon 41.45075 59.98734 131.20303 128.97366 0.9619619 
1 296.jpg person 29.354763 11.575317 157.21286 176.43175 0.99460137 
1 296.jpg weapon 105.54585 49.331177 256.10962 107.79292 0.9814119 
1 293.jpg person 49.34703 49.810204 170.6014 213.07901 0.9960542 
1 293.jpg weapon 65.024506 127.887344 156.71631 211.63844 0.9001763 
1 297.jpg person 129.63153 59.280853 324.0 122.32309 0.9959428 
1 297.jpg person 276.73532 12.178629 324.0 73.57999 0.9908414 
1 297.jpg weapon 9.695198 71.728836 157.89804 109.16635 0.9889792 
1 297.jpg weapon 199.84178 41.798584 281.4853 69.62073 0.96157974 
1 47.jpg person 155.6253 5.741768 217.1684 151.38492 0.9959514 
1 47.jpg person 62.49936 10.610573 166.12799 169.58136 0.9919333 
1 47.jpg person 34.03878 48.700726 52.054604 87.14131 0.91268426 
1 47.jpg weapon 102.151764 51.04863 179.96216 145.02849 0.96262115 
1 8.jpg person 21.607914 21.925713 130.04933 193.74731 0.9976102 
1 8.jpg weapon 78.68399 48.016205 199.6536 88.22235 0.9830965 
1 124.jpg person 132.64989 15.907143 274.5807 179.98273 0.9988164 
1 124.jpg person 14.576176 9.409828 122.742584 182.0 0.9962662 
1 299.jpg person 0.0 35.157005 40.790222 177.46347 0.99920684 
1 299.jpg person 98.940506 64.41635 148.7407 154.23138 0.99549437 
1 299.jpg weapon 9.639818 89.55477 51.054214 106.4672 0.92147803 
1 299.jpg weapon 135.54054 105.8655 162.62318 124.29742 0.8800374 
1 0.jpg person 0.0 33.225517 58.422245 269.94968 0.98653877 
1 0.jpg person 46.15782 29.908783 143.71892 294.5085 0.9809848 
1 298.jpg person 106.6587 98.01018 154.86162 158.68398 0.99225146 
1 298.jpg person 134.06624 80.60493 154.57115 103.02697 0.94281924 
1 298.jpg person 36.038403 32.90606 121.52287 152.24518 0.9115361 
1 298.jpg weapon 144.71237 78.98112 258.55988 138.76797 0.97318506 
1 298.jpg weapon 49.77877 19.601334 119.25068 106.733505 0.9636799 
